UID,Amazon Name,USDA Name,USDA Food ID,Match Confidence,Serving Size,Serving Unit,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g)
204294b6,Organic Celery Hearts,ORGANIC CELERY HEARTS,2059847,1.0,110.0,g,18.0,0.91,4.55,0.0,1.8,0.0
5353ff93,Morton Sea Salt Coarse,COARSE SEA SALT,2071634,0.75,1.5,g,0.0,0.0,0.0,0.0,0.0,0.0
70bd97e0,Amazon Fresh Brand Russet Potatoes,FRESH RUSSET POTATOES,522021,0.8999999999999999,148.0,g,74.0,2.03,17.57,0.0,1.4,0.68
1f4f0e2e,365 by Whole Foods Market Almond Milk Unsweetened,"365 EVERYDAY VALUE, WHOLE MILK RICOTTA CHEESE",2052286,0.55,62.0,g,161.0,8.06,3.23,12.9,0.0,3.23
63706b22,365 by Whole Foods Market Mixed Vegetables,"WHOLE FOODS MARKET, STIR-FRY VEGETABLES",2051929,0.6333333333333333,85.0,g,29.0,1.18,7.06,0.0,2.4,3.53
4a6eb2d7,Sprite Zero 2 Liter,"Sprite Bottle, 2 Liters",2718309,0.9333333333333332,360.0,MLT,0.0,0.0,0.0,0.0,0.0,0.0
5a5ac3b8,365 by Whole Foods Market Green Peas,"Peas, green, raw",169825,0.9,50.0,g,81.0,5.42,14.46,0.4,5.7,5.67
810973a7,365 by Whole Foods Market Green Olives,"365 EVERYDAY VALUE, PITTED BLACK OLIVES",2026696,0.4818181818181818,15.0,g,167.0,0.0,6.67,16.67,0.0,0.0
23570e0a,365 by Whole Foods Market White Sweet Corn,"365 EVERYDAY VALUE, TORTILLA CHIPS, WHITE CORN, WHITE CORN",1861061,0.5307692307692308,28.0,g,464.0,7.14,71.43,16.07,7.1,0.0
a66384fc,Amazon Brand - Happy Belly Tropical Fruit Mix,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, heavy syrup, solids and liquids",169135,0.9,30.0,GRM,76.0,0.44,19.92,0.05,1.0,18.85
943f77de,365 by Whole Foods Market Chopped Spinach,"Spinach, frozen, chopped or leaf, unprepared",169287,0.9,1.0,undetermined,29.0,3.63,4.21,0.57,2.9,0.65
be869877,365 by Whole Foods Market Chopped Kale,"Kale, raw",169233,0.9,100.0,g,49.0,4.28,8.75,0.93,3.6,2.26
5ca2bf48,365 by Whole Foods Market Organic Low Sodium Broth,"365 EVERYDAY VALUE, ORGANIC CHICKEN BROTH",2085734,0.55,240.0,ml,2.0,0.42,0.42,0.0,0.0,0.42
86f17eb0,Taylor Farms Classic Garden Salad,"TAYLOR FARMS, SOUTHWEST STYLE SALAD",2030573,0.55,284.0,g,176.0,4.58,11.62,12.32,2.1,2.82
